Pokemon,AllMountTypes,RidingStyles,Seats,MountType,RidingStyle,SPEED_Min,SPEED_Max,ACCELERATION_Min,ACCELERATION_Max,SKILL_Min,SKILL_Max,JUMP_Min,JUMP_Max,STAMINA_Min,STAMINA_Max,Source,Path
absol,LAND,horse,1,LAND,horse,30,55,30,55,40,70,25,45,30,60,JourneyMounts,data/cobblemon/species_additions/generation3/absol.json
aerodactyl,"AIR, LAND","bird, horse",1,AIR,bird,90,115,85,110,70,95,45,75,80,110,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/aerodactyl.json
aerodactyl,"AIR, LAND","bird, horse",1,LAND,horse,10,25,35,55,15,45,25,35,20,45,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/aerodactyl.json
aggron,LAND,horse,1,LAND,horse,40,80,30,60,20,50,30,65,60,120,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/aggron.json
alakazam,LAND,horse,1,LAND,horse,60,85,65,85,75,95,25,45,45,65,JourneyMounts,data/cobblemon/species_additions/generation1/alakazam.json
altaria,"AIR, LAND","bird, horse",1,AIR,bird,105,125,60,85,85,110,25,45,70,90,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/altaria.json
altaria,"AIR, LAND","bird, horse",1,LAND,horse,30,50,40,60,80,100,10,40,10,40,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/altaria.json
annihilape,LAND,horse,1,LAND,horse,45,70,40,65,45,75,25,40,50,85,JourneyMounts,data/cobblemon/species_additions/generation9/annihilape.json
appletun,LAND,horse,1,LAND,horse,25,40,25,40,20,35,10,20,50,70,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/appletun.json
arbok,LAND,horse,1,LAND,horse,25,45,65,80,0,30,0,5,35,55,JourneyMounts,data/cobblemon/species_additions/generation1/arbok.json
arcanine,LAND,horse,1,LAND,horse,90,130,85,95,70,95,65,85,35,80,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/arcanine.json
arceus,"AIR, LAND","bird, horse",1,AIR,bird,150,180,100,130,80,90,60,90,80,160,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/arceus.json
arceus,"AIR, LAND","bird, horse",1,LAND,horse,80,110,70,100,70,80,70,100,30,65,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/arceus.json
archaludon,LAND,horse,1,LAND,horse,25,40,25,40,25,40,15,30,60,80,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/archaludon.json
archeops,"AIR, LAND","bird, horse",1,AIR,bird,35,65,35,60,45,75,35,60,30,55,JourneyMounts,data/cobblemon/species_additions/generation5/archeops.json
archeops,"AIR, LAND","bird, horse",1,LAND,horse,25,45,20,40,30,55,20,35,35,65,JourneyMounts,data/cobblemon/species_additions/generation5/archeops.json
arctozolt,LAND,horse,1,LAND,horse,30,50,30,55,30,55,15,30,45,75,JourneyMounts,data/cobblemon/species_additions/generation8/arctozolt.json
ariados,LAND,horse,1,LAND,horse,30,45,55,85,45,65,25,45,15,30,Cobblemon-Fabric,data/cobblemon/species/generation2/ariados.json
armaldo,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,25,50,20,45,30,60,20,40,45,75,JourneyMounts,data/cobblemon/species_additions/generation3/armaldo.json
armaldo,"LAND, LIQUID","horse, dolphin",1,LAND,horse,15,35,15,35,30,55,15,30,40,70,JourneyMounts,data/cobblemon/species_additions/generation3/armaldo.json
armarouge,LAND,horse,1,LAND,horse,35,55,40,65,50,80,20,35,35,60,JourneyMounts,data/cobblemon/species_additions/generation9/armarouge.json
articuno,"AIR, LAND","bird, horse",1,AIR,bird,120,150,65,90,70,100,50,80,70,90,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/articuno.json
articuno,"AIR, LAND","bird, horse",1,LAND,horse,10,20,70,90,30,60,25,50,40,80,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/articuno.json
aurorus,LAND,horse,1,LAND,horse,20,40,30,55,25,45,15,30,50,80,JourneyMounts,data/cobblemon/species_additions/generation6/aurorus.json
avalugg,LAND,horse,1,LAND,horse,10,25,15,30,40,70,5,15,60,90,JourneyMounts,data/cobblemon/species_additions/generation6/avalugg.json
basculegion,LIQUID,dolphin,1,LIQUID,dolphin,45,75,40,65,35,60,25,45,30,65,JourneyMounts,data/cobblemon/species_additions/generation8a/basculegion.json
basculin,LIQUID,dolphin,1,LIQUID,dolphin,35,65,35,65,40,70,20,40,35,70,JourneyMounts,data/cobblemon/species_additions/generation5/basculin.json
bastiodon,LAND,horse,2,LAND,horse,65,85,30,50,20,40,15,30,50,90,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/bastiodon.json
beartic,LAND,horse,1,LAND,horse,20,45,20,45,30,55,20,35,50,85,JourneyMounts,data/cobblemon/species_additions/generation5/beartic.json
bellibolt,"AIR, LAND","jet, horse",1,AIR,jet,55,90,45,75,50,80,45,80,35,65,JourneyMounts,data/cobblemon/species_additions/generation9/bellibolt.json
bellibolt,"AIR, LAND","jet, horse",1,LAND,horse,20,40,30,55,35,60,20,40,25,50,JourneyMounts,data/cobblemon/species_additions/generation9/bellibolt.json
bewear,LAND,horse,1,LAND,horse,35,55,40,65,25,45,20,30,55,85,JourneyMounts,data/cobblemon/species_additions/generation7/bewear.json
blastoise,"AIR, LAND, LIQUID","rocket, horse, submarine",2,LIQUID,submarine,75,95,50,75,60,85,30,50,35,70,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/blastoise.json
blastoise,"AIR, LAND, LIQUID","rocket, horse, submarine",2,AIR,rocket,75,95,20,50,40,60,10,20,2,20,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/blastoise.json
blastoise,"AIR, LAND, LIQUID","rocket, horse, submarine",2,LAND,horse,40,70,20,40,30,50,20,35,15,35,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/blastoise.json
blaziken,LAND,horse,1,LAND,horse,35,65,40,70,40,70,40,70,30,55,JourneyMounts,data/cobblemon/species_additions/generation3/blaziken.json
blissey,LAND,horse,1,LAND,horse,10,25,5,20,10,25,5,15,70,100,JourneyMounts,data/cobblemon/species_additions/generation2/blissey.json
boltund,LAND,horse,1,LAND,horse,60,85,55,80,35,55,30,50,35,55,JourneyMounts,data/cobblemon/species_additions/generation8/boltund.json
bouffalant,LAND,horse,1,LAND,horse,60,70,35,65,35,55,15,20,55,70,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/bouffalant.json
braviary,"AIR, LAND","bird, horse",1,AIR,bird,95,120,65,85,45,65,35,55,55,85,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/braviary.json
braviary,"AIR, LAND","bird, horse",1,LAND,horse,30,50,40,60,25,45,10,20,15,30,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/braviary.json
bronzong,AIR,hover,2,AIR,hover,55,75,25,45,50,70,40,60,10,20,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/bronzong.json
camerupt,LAND,horse,6,LAND,horse,50,70,30,50,20,40,15,20,50,80,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/camerupt.json
carracosta,"LAND, LIQUID","horse, dolphin",1,LIQUID,dolphin,25,50,20,40,40,70,20,35,55,90,JourneyMounts,data/cobblemon/species_additions/generation5/carracosta.json
carracosta,"LAND, LIQUID","horse, dolphin",1,LAND,horse,15,35,15,35,30,55,10,25,45,80,JourneyMounts,data/cobblemon/species_additions/generation5/carracosta.json
centiskorch,LAND,horse,1,LAND,horse,35,65,35,60,35,60,20,35,50,85,JourneyMounts,data/cobblemon/species_additions/generation8/centiskorch.json
ceruledge,LAND,horse,1,LAND,horse,35,60,45,70,60,85,25,40,30,55,JourneyMounts,data/cobblemon/species_additions/generation9/ceruledge.json
cetitan,LAND,horse,1,LAND,horse,20,40,20,45,30,55,10,25,45,80,JourneyMounts,data/cobblemon/species_additions/generation9/cetitan.json
chandelure,AIR,bird,1,AIR,bird,20,40,25,45,45,70,20,35,35,65,JourneyMounts,data/cobblemon/species_additions/generation5/chandelure.json
chansey,LAND,horse,1,LAND,horse,5,20,0,15,0,20,5,15,50,80,JourneyMounts,data/cobblemon/species_additions/generation1/chansey.json
charizard,"AIR, LAND","bird, horse",1,AIR,bird,95,115,80,100,75,95,30,65,45,75,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/charizard.json
charizard,"AIR, LAND","bird, horse",1,LAND,horse,45,65,50,75,50,70,15,25,20,30,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/charizard.json
chesnaught,LAND,horse,1,LAND,horse,25,45,30,55,35,60,20,35,55,85,JourneyMounts,data/cobblemon/species_additions/generation6/chesnaught.json
chienpao,LAND,horse,1,LAND,horse,130,150,45,80,50,85,60,90,50,70,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/chienpao.json
cinderace,LAND,horse,1,LAND,horse,55,85,55,85,45,70,30,50,35,55,JourneyMounts,data/cobblemon/species_additions/generation8/cinderace.json
clawitzer,LIQUID,dolphin,1,LIQUID,dolphin,45,75,45,70,55,80,25,45,30,55,JourneyMounts,data/cobblemon/species_additions/generation6/clawitzer.json
claydol,AIR,hover,1,AIR,hover,10,20,65,85,50,70,35,70,5,10,Cobblemon-Fabric,data/cobblemon/species/generation3/claydol.json
clefable,LAND,horse,1,LAND,horse,30,45,35,55,35,55,20,35,55,80,JourneyMounts,data/cobblemon/species_additions/generation1/clefable.json
clodsire,LAND,horse,1,LAND,horse,5,20,10,25,20,40,0,10,60,90,JourneyMounts,data/cobblemon/species_additions/generation9/clodsire.json
cloyster,"LAND, LIQUID","horse, submarine",2,LIQUID,submarine,35,65,45,65,50,75,30,50,35,70,JourneyMounts,data/cobblemon/species_additions/generation1/cloyster.json
cloyster,"LAND, LIQUID","horse, submarine",2,LAND,horse,30,65,30,50,10,35,15,30,15,35,JourneyMounts,data/cobblemon/species_additions/generation1/cloyster.json
cobalion,LAND,horse,1,LAND,horse,95,105,45,60,35,55,30,45,70,95,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/cobalion.json
cofagrigus,LAND,horse,1,LAND,horse,15,35,15,35,30,55,15,30,40,70,JourneyMounts,data/cobblemon/species_additions/generation5/cofagrigus.json
conkeldurr,LAND,horse,1,LAND,horse,10,25,10,25,30,55,10,25,60,95,JourneyMounts,data/cobblemon/species_additions/generation5/conkeldurr.json
copperajah,LAND,horse,1,LAND,horse,15,30,20,35,25,45,5,15,70,100,JourneyMounts,data/cobblemon/species_additions/generation8/copperajah.json
corviknight,"AIR, LAND","bird, horse",2,AIR,bird,85,110,45,65,40,60,30,50,80,100,COBBLEVERSE-DP-v28,data/cobblemon/species_additions/corviknight.json
